"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 16:35:27 GMT 2025","Fri Aug 08 16:35:27 GMT 2025","767","","Login","","LoginTests","UnsuccessfulLogin_ShouldShowErrorMessage","UnsuccessfulLogin_ShouldShowErrorMessage",""
"passed","Fri Aug 08 16:35:21 GMT 2025","Fri Aug 08 16:35:22 GMT 2025","1133","","Products","","ProductsTests","ProductsShouldMatchExpectedDataFromJson","ProductsShouldMatchExpectedDataFromJson",""
"passed","Fri Aug 08 16:35:15 GMT 2025","Fri Aug 08 16:35:21 GMT 2025","5185","","Products","","ProductsTests","ProductsShouldBeSortedAlphabeticallyDescendant","ProductsShouldBeSortedAlphabeticallyDescendant",""
"passed","Fri Aug 08 16:35:15 GMT 2025","Fri Aug 08 16:35:21 GMT 2025","5189","","Login","","LoginTests","SuccessfulLogin_ShouldDisplayProductsPage","SuccessfulLogin_ShouldDisplayProductsPage",""
"broken","Fri Aug 08 16:35:21 GMT 2025","Fri Aug 08 16:35:27 GMT 2025","6136","","Login","","LoginTests","UnsuccessfulLogin_Should","UnsuccessfulLogin_Should",""
